Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,%Deg,isPivot,pointpos,destek,direnc,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
07-07-2025 09:00,VAKFN,1.64,1.88,1.6,1.82,709944754.29,0.06,0.18,0.02,681.25,0.18,469149389.14,51.33,0.32,True,63.09,0.06,0.05,0.01,2025-07-07,9.24,0,,1.41,1.88,False,False
30-06-2025 09:00,TCELL,89.9,100.2,89.9,98.95,142390613.0,1.25,9.05,0.34,2561.76,9.05,90022320.9,58.17,0.14,True,53.57,-0.83,-0.81,-0.02,2025-06-30,10.81,0,,84.55,100.3,False,False
30-06-2025 09:00,LINK,15.01,16.61,14.69,16.23,42998277.98,0.38,1.22,0.28,332.9,1.22,20816326.36,106.56,0.31,True,65.36,0.59,0.28,0.31,2025-06-30,10.82,0,,12.13,ATH,False,False
30-06-2025 09:00,XBANK,14195.14,16315.45,14151.83,15821.34,7443807426.0,494.11,1626.2,307.64,428.61,1626.2,4503797222.8,65.28,0.3,True,64.44,9.15,-294.48,303.63,2025-06-30,12.87,0,,11272.13,17131.67,False,False
30-06-2025 09:00,HALKB,23.48,27.34,23.46,26.76,427383608.0,0.58,3.28,0.57,479.51,3.28,215087596.2,98.7,0.18,True,71.93,1.24,0.84,0.4,2025-06-30,14.55,0,,14.12,ATH,False,False
30-06-2025 09:00,ECILC,42.7,50.75,42.62,50.75,49496585.0,0.0,8.05,0.51,1487.77,8.05,13642013.6,262.82,0.0,True,59.42,0.12,-0.09,0.21,2025-06-30,18.91,0,,40.4,51.1,False,False
30-06-2025 09:00,ISCTR,12.32,14.36,12.21,14.11,3659646770.0,0.25,1.79,0.26,588.46,1.79,1989518815.3,83.95,0.14,True,61.88,-0.31,-0.54,0.23,2025-06-30,16.13,0,,10.07,16.6,False,False
30-06-2025 09:00,ULUSE,160.7,210.0,156.5,204.5,2602839.0,5.5,43.8,6.26,599.68,43.8,1266113.9,105.58,0.13,True,72.32,2.02,-4.65,6.67,2025-06-30,33.31,0,,122.0,ATH,False,False
30-06-2025 09:00,HATSN,36.08,42.6,36.08,42.06,13055167.0,0.54,5.98,0.28,2066.67,5.98,7200650.9,81.31,0.09,True,53.34,-1.24,-1.39,0.15,2025-06-30,16.57,0,,34.5,51.5,True,True
23-06-2025 09:00,MOPAS,27.1,35.8,25.64,35.24,50085009.0,0.56,8.14,0.76,973.88,8.14,25011109.9,100.25,0.07,True,60.14,0.52,0.06,0.47,2025-06-23,29.56,0,,22.48,ATH,False,False
23-06-2025 09:00,GRSEL,243.9,293.0,230.5,285.0,7207050.0,8.0,41.1,1.42,2804.59,41.1,4455500.5,61.76,0.19,True,59.94,17.1,20.82,-3.72,2025-06-23,16.66,2,230.5,230.5,317.5,False,False
23-06-2025 09:00,AKFGY,2.04,2.52,2.01,2.4,395428223.0,0.12,0.36,0.05,650.0,0.36,211129350.4,87.29,0.33,True,64.86,0.04,0.0,0.03,2025-06-23,16.5,0,,1.68,ATH,False,False
16-06-2025 09:00,DITAS,8.92,12.32,8.92,11.84,34329459.0,0.48,2.92,0.51,471.71,2.92,22426800.43,53.07,0.16,True,68.92,0.53,0.02,0.51,2025-06-16,32.69,0,,5.61,ATH,False,False
16-06-2025 09:00,INVEO,7.14,8.47,7.14,8.31,151342352.0,0.16,1.17,0.14,760.29,1.17,46000983.1,229.0,0.14,True,65.68,-0.03,-0.21,0.18,2025-06-16,18.71,0,,5.79,8.75,False,False
10-06-2025 09:00,PEKGY,1.12,1.6,1.11,1.53,4502606771.5,0.07,0.41,0.03,1192.68,0.41,1249389795.66,260.38,0.17,True,68.99,0.03,0.01,0.02,2025-06-10,39.01,0,,1.0,ATH,False,False
02-06-2025 09:00,KLRHO,55.05,73.25,53.3,72.5,21291835.0,0.75,17.45,4.32,304.12,17.45,11634267.1,83.01,0.04,True,87.72,5.96,1.62,4.34,2025-06-02,29.35,0,,22.5,ATH,False,False
26-05-2025 09:00,VSNMD,330.75,448.25,304.0,415.0,31699086.0,33.25,84.25,27.99,200.95,84.25,10826198.0,192.8,0.39,True,83.64,34.11,22.07,12.04,2025-05-26,25.47,0,,ATL,ATH,False,False
