Tarih,Hisse,open,high,low,close,volume,YuksekKapanis_Fark,AcilisKapanis_Fark,AcilisKapanisFark_Ort,AcilisKapanisFark_OrtalamayaGoreDegisim,AcilisKapanisFarkOrt_MaxSon10,HacimOrtalama,%Hacim_HacimOrtalama,Fark_Orani,Kosul,rsi,MACD_12_26_9,MACDs_12_26_9,MACDh_12_26_9,Tarih1,%Deg,isPivot,pointpos,direnc,destek,Tsinyal_Banker_Dip,Tsinyal_Banker_DipKarar
04-05-2026 06:00,SISE,48.08,52.6,45.84,51.8,570101242.0,0.8,3.72,1.31,183.11,3.72,286889212.6,98.72,0.22,True,68.36,2.65,2.14,0.51,2026-05-04,8.23,0,,ATH,32.44,False,False
04-05-2026 06:00,ALFAS,41.6,48.1,40.58,46.44,28586385.0,1.66,4.84,0.78,518.93,4.84,10133065.1,182.11,0.34,True,62.57,-0.68,-1.46,0.79,2026-05-04,12.66,0,,52.65,35.8,False,False
04-05-2026 06:00,BRISA,84.55,95.55,83.2,95.5,2352024.0,0.05,10.95,1.67,557.66,10.95,1157927.8,103.12,0.0,True,60.7,1.13,1.14,-0.01,2026-05-04,13.02,0,,104.0,79.0,False,False
04-05-2026 06:00,CCOLA,75.2,87.5,74.15,86.65,54212442.0,0.85,11.45,2.76,315.61,11.45,24488214.6,121.38,0.07,True,69.64,5.62,4.99,0.63,2026-05-04,15.53,0,,ATH,45.14,False,False
04-05-2026 06:00,ZEDUR,9.38,10.87,9.24,10.87,44243421.0,0.0,1.49,0.32,371.52,1.49,19227846.3,130.1,0.0,True,75.39,0.32,0.1,0.22,2026-05-04,15.52,0,,10.92,7.47,False,False
04-05-2026 06:00,PETUN,12.39,14.81,12.27,14.58,23894784.0,0.23,2.19,0.37,490.3,2.19,14404481.4,65.88,0.11,True,69.77,0.35,0.18,0.17,2026-05-04,18.25,0,,ATH,10.89,False,False
04-05-2026 06:00,PENTA,14.6,15.82,14.38,15.8,37671206.0,0.02,1.2,0.32,270.37,1.2,16968193.8,122.01,0.02,True,63.07,0.03,-0.2,0.23,2026-05-04,10.49,0,,16.75,12.49,True,False
04-05-2026 06:00,YONGA,57.0,62.0,55.0,61.8,160397.0,0.2,4.8,1.68,184.87,4.8,100524.8,59.56,0.04,True,55.76,-1.51,-2.23,0.72,2026-05-04,12.26,0,,66.95,50.8,True,False
04-05-2026 06:00,BVSAN,118.5,150.5,116.4,150.5,12105064.0,0.0,32.0,5.24,510.69,32.0,4618663.8,162.09,0.0,True,71.94,4.04,1.27,2.77,2026-05-04,26.9,0,,155.6,96.1,False,False
04-05-2026 06:00,HUNER,3.21,3.61,3.17,3.52,180747067.0,0.09,0.31,0.05,484.91,0.31,81116825.5,122.82,0.29,True,55.71,-0.06,-0.1,0.04,2026-05-04,10.0,0,,3.72,2.93,True,False
04-05-2026 06:00,PNSUT,12.97,16.0,12.34,15.83,54879991.0,0.17,2.86,0.56,410.71,2.86,16759866.0,227.45,0.06,True,73.52,0.51,0.16,0.34,2026-05-04,24.06,0,,ATH,10.01,False,False
04-05-2026 06:00,OZYSR,11.25,13.31,11.05,12.86,28611461.0,0.45,1.61,0.2,689.02,1.61,16073247.3,78.01,0.28,True,63.7,0.67,0.73,-0.06,2026-05-04,14.31,0,,13.93,7.44,False,False
04-05-2026 06:00,INGRM,431.5,501.0,431.5,494.5,873045.0,6.5,63.0,13.3,373.68,63.0,279523.6,212.33,0.1,True,63.86,4.32,-2.72,7.04,2026-05-04,15.34,0,,512.0,354.75,False,False
04-05-2026 06:00,PAHOL,1.56,1.76,1.51,1.75,3727497280.0,0.01,0.19,0.04,427.78,0.19,2181237546.1,70.89,0.05,True,60.75,0.01,-0.0,0.01,2026-05-04,11.46,0,,1.86,1.41,False,False
04-05-2026 06:00,PRKME,19.2,22.3,18.92,22.0,24260557.0,0.3,2.8,0.41,577.97,2.8,11893448.1,103.98,0.11,True,60.98,0.36,0.17,0.19,2026-05-04,14.7,0,,25.08,15.9,False,False
04-05-2026 06:00,YKSLN,3.27,3.55,3.18,3.48,72790606.0,0.07,0.21,0.04,425.0,0.21,40165594.2,81.23,0.33,True,58.25,-0.01,-0.04,0.02,2026-05-04,6.75,0,,3.76,3.02,False,False
04-05-2026 06:00,RTALB,3.33,4.0,3.22,4.0,363687611.0,0.0,0.67,0.03,1993.75,0.67,152222617.3,138.92,0.0,True,56.61,0.0,0.02,-0.02,2026-05-04,20.48,2,3.22,4.5,3.22,False,False
04-05-2026 06:00,OFSYM,56.75,68.25,55.15,67.8,13092405.0,0.45,11.05,1.06,937.56,11.05,4347984.1,201.11,0.04,True,54.97,-0.26,0.72,-0.98,2026-05-04,19.47,0,,77.4,55.0,False,False
04-05-2026 06:00,DARDL,2.22,2.39,2.19,2.39,205733813.0,0.0,0.17,0.04,286.36,0.17,124575261.0,65.15,0.0,True,57.52,-0.03,-0.05,0.02,2026-05-04,7.66,0,,2.56,1.88,True,False
04-05-2026 06:00,BIZIM,28.04,33.38,27.76,33.38,3787894.0,0.0,5.34,0.78,588.14,5.34,2032452.5,86.37,0.0,True,66.43,0.44,0.24,0.21,2026-05-04,18.96,0,,34.0,25.1,False,False
04-05-2026 06:00,AHSGY,18.5,23.9,17.83,22.46,38418745.0,1.44,3.96,0.48,719.88,3.96,21115625.1,81.94,0.36,True,65.64,1.37,1.73,-0.36,2026-05-04,22.07,0,,26.6,16.25,False,False
04-05-2026 06:00,HEKTS,3.48,4.44,3.32,4.44,1419816249.0,0.0,0.96,0.16,515.38,0.96,881193681.6,61.12,0.0,True,71.54,0.06,-0.07,0.13,2026-05-04,29.45,0,,5.27,2.76,False,False
04-05-2026 06:00,YEOTK,24.17,34.47,23.93,34.47,332076586.18,0.0,10.31,1.85,456.33,10.31,134989102.49,146.0,0.0,True,86.47,2.62,1.43,1.19,2026-05-04,44.44,0,,ATH,14.88,False,False
04-05-2026 06:00,ISDMR,48.6,59.25,48.3,58.25,44497788.0,1.0,9.65,1.84,423.6,9.65,21776458.6,104.34,0.1,True,79.26,3.19,2.0,1.19,2026-05-04,20.3,0,,ATH,34.72,False,False
04-05-2026 06:00,IZINV,68.3,80.3,66.0,80.3,5617754.0,0.0,12.0,2.13,462.06,12.0,2497940.3,124.9,0.0,True,65.34,1.79,0.74,1.05,2026-05-04,17.23,0,,93.3,53.6,False,False
04-05-2026 06:00,DGATE,89.95,113.3,89.55,113.3,10042049.0,0.0,23.35,4.75,391.58,23.35,2917063.9,244.25,0.0,True,73.59,5.56,2.15,3.42,2026-05-04,27.23,0,,ATH,61.05,False,False
04-05-2026 06:00,ULUUN,8.62,9.8,8.54,9.49,95375258.0,0.31,0.87,0.24,270.21,0.87,54500981.5,75.0,0.36,True,71.46,0.39,0.2,0.19,2026-05-04,10.35,0,,ATH,6.36,False,False
04-05-2026 06:00,IZMDC,7.1,8.87,6.96,8.87,105097212.0,0.0,1.77,0.22,693.72,1.77,42082975.9,149.74,0.0,True,68.65,0.22,0.13,0.09,2026-05-04,26.17,0,,9.52,6.08,False,False
27-04-2026 06:00,FENER,2.72,3.18,2.71,3.14,1519491090.0,0.04,0.42,0.05,793.62,0.42,793290377.2,91.54,0.1,True,46.65,-0.27,-0.29,0.03,2026-04-27,11.74,0,,5.52,2.54,True,False
27-04-2026 06:00,EUPWR,41.2,53.0,41.02,52.4,189251726.0,0.6,11.2,1.71,556.51,11.2,69523580.9,172.21,0.05,True,71.16,3.32,2.43,0.89,2026-04-27,29.13,0,,ATH,31.9,False,False
27-04-2026 06:00,TRILC,2.93,3.91,2.87,3.7,576688943.0,0.21,0.77,0.12,516.48,0.77,177169398.72,225.5,0.27,True,68.43,-0.01,-0.12,0.11,2026-04-27,25.47,0,,4.1,2.25,False,False
27-04-2026 06:00,SMRVA,17.36,21.46,16.11,21.46,267408276.0,0.0,4.1,0.92,346.25,4.1,156191420.5,71.21,0.0,True,46.39,-7.16,-8.54,1.38,2026-04-27,23.65,0,,23.21,10.25,False,False
27-04-2026 06:00,ALGYO,4.86,6.33,4.85,6.33,532299365.0,0.0,1.47,0.17,749.71,1.47,228417802.8,133.04,0.0,True,64.13,0.43,0.44,-0.01,2026-04-27,30.25,0,,ATH,4.3,False,False
27-04-2026 06:00,CELHA,10.3,13.18,10.17,13.18,69278420.0,0.0,2.88,0.41,597.34,2.88,20349915.1,240.44,0.0,True,67.59,0.29,0.18,0.11,2026-04-27,28.46,0,,13.38,8.8,False,False
27-04-2026 06:00,SEYKM,4.52,5.64,4.38,5.33,24887107.0,0.31,0.81,0.1,743.75,0.81,10441044.9,138.36,0.38,True,54.35,-0.17,-0.16,-0.01,2026-04-27,17.92,0,,7.95,4.01,False,False
27-04-2026 06:00,RODRG,20.12,28.46,20.06,28.46,5233102.0,0.0,8.34,0.91,818.5,8.34,1969207.4,165.75,0.0,True,72.73,0.23,-0.11,0.34,2026-04-27,41.45,0,,35.36,19.12,True,True
20-04-2026 06:00,ARENA,27.62,37.96,27.24,37.76,43265326.0,0.2,10.14,1.11,813.51,10.14,10819987.7,299.86,0.02,True,68.69,-0.35,-1.28,0.92,2026-04-20,34.28,0,,41.78,23.66,True,False
20-04-2026 06:00,PENGD,11.61,15.07,11.6,15.05,123541999.0,0.02,3.44,0.59,479.12,3.44,81524157.0,51.54,0.01,True,82.62,0.9,0.36,0.53,2026-04-20,29.85,0,,ATH,7.48,False,False
20-04-2026 06:00,PKART,88.55,115.9,86.0,115.9,9590295.0,0.0,27.35,4.46,513.23,27.35,4056630.9,136.41,0.0,True,76.83,4.75,1.57,3.18,2026-04-20,30.89,0,,ATH,67.0,False,False
20-04-2026 06:00,PAMEL,85.9,99.5,84.55,97.3,3439415.0,2.2,11.4,1.06,970.42,11.4,899923.6,282.19,0.19,True,59.48,-1.44,-2.71,1.26,2026-04-20,12.49,0,,138.6,76.1,True,False
20-04-2026 06:00,PRZMA,17.7,25.84,17.2,25.84,15680220.0,0.0,8.14,1.5,444.48,8.14,7148845.9,119.34,0.0,True,78.83,1.53,0.52,1.01,2026-04-20,45.99,0,,ATH,10.75,False,False
20-04-2026 06:00,HOROZ,57.85,75.55,57.1,71.3,29357241.0,4.25,13.45,1.34,900.0,13.45,9141808.6,221.13,0.32,True,64.59,0.2,0.01,0.2,2026-04-20,22.3,0,,72.0,53.2,False,False
20-04-2026 06:00,YAYLA,24.32,27.5,23.22,27.5,12042829.0,0.0,3.18,0.18,1647.25,3.18,6648484.4,81.14,0.0,True,51.23,-1.65,-1.55,-0.11,2026-04-20,13.08,0,,47.28,20.36,True,True
20-04-2026 06:00,GMTAS,38.88,52.15,38.5,51.0,48231301.0,1.15,12.12,2.67,354.27,12.12,17925669.8,169.06,0.09,True,83.84,5.13,3.5,1.63,2026-04-20,30.84,0,,ATH,4.85,False,False
20-04-2026 06:00,TURGG,31.5,38.62,31.5,38.62,17738430.0,0.0,7.12,0.92,672.23,7.12,6746325.2,162.93,0.0,True,69.26,0.97,0.04,0.93,2026-04-20,19.71,0,,53.02,25.54,True,False
20-04-2026 06:00,BINHO,9.74,11.03,9.71,10.78,433841651.0,0.25,1.04,0.15,575.32,1.04,243662378.5,78.05,0.24,True,58.87,-0.04,-0.2,0.16,2026-04-20,9.44,1,11.03,11.03,7.98,False,False
